GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
1400000US06037134103,"Census Tract 1341.03, Los Angeles County, California",87045,2019
1400000US06037134104,"Census Tract 1341.04, Los Angeles County, California",83085,2019
1400000US06037134201,"Census Tract 1342.01, Los Angeles County, California",97981,2019
1400000US06037134302,"Census Tract 1343.02, Los Angeles County, California",123250,2019
1400000US06037134303,"Census Tract 1343.03, Los Angeles County, California",114160,2019
1400000US06037134304,"Census Tract 1343.04, Los Angeles County, California",89830,2019
1400000US06037134305,"Census Tract 1343.05, Los Angeles County, California",43942,2019
1400000US06037134306,"Census Tract 1343.06, Los Angeles County, California",79612,2019
1400000US06037134421,"Census Tract 1344.21, Los Angeles County, California",156008,2019
1400000US06037134422,"Census Tract 1344.22, Los Angeles County, California",142407,2019
1400000US06037134423,"Census Tract 1344.23, Los Angeles County, California",121818,2019
1400000US06037134424,"Census Tract 1344.24, Los Angeles County, California",164963,2019
1400000US06037134520,"Census Tract 1345.20, Los Angeles County, California",62299,2019
1400000US06037134521,"Census Tract 1345.21, Los Angeles County, California",73037,2019
1400000US06037134522,"Census Tract 1345.22, Los Angeles County, California",51708,2019
1400000US06037134710,"Census Tract 1347.10, Los Angeles County, California",60827,2019
1400000US06037134720,"Census Tract 1347.20, Los Angeles County, California",87432,2019
1400000US06037134800,"Census Tract 1348, Los Angeles County, California",91717,2019
1400000US06037134901,"Census Tract 1349.01, Los Angeles County, California",105370,2019
1400000US06037134903,"Census Tract 1349.03, Los Angeles County, California",83709,2019
1400000US06037134904,"Census Tract 1349.04, Los Angeles County, California",77181,2019
1400000US06037134905,"Census Tract 1349.05, Los Angeles County, California",103759,2019
1400000US06037135102,"Census Tract 1351.02, Los Angeles County, California",142712,2019
1400000US06037135111,"Census Tract 1351.11, Los Angeles County, California",116671,2019
1400000US06037135113,"Census Tract 1351.13, Los Angeles County, California",108408,2019
1400000US06037135114,"Census Tract 1351.14, Los Angeles County, California",100067,2019
1400000US06037135201,"Census Tract 1352.01, Los Angeles County, California",131695,2019
1400000US06037135202,"Census Tract 1352.02, Los Angeles County, California",127955,2019
1400000US06037135203,"Census Tract 1352.03, Los Angeles County, California",148913,2019
1400000US06037137000,"Census Tract 1370, Los Angeles County, California",172381,2019
1400000US06037137103,"Census Tract 1371.03, Los Angeles County, California",109316,2019
1400000US06037137104,"Census Tract 1371.04, Los Angeles County, California",140820,2019
1400000US06037137201,"Census Tract 1372.01, Los Angeles County, California",119051,2019
1400000US06037137301,"Census Tract 1373.01, Los Angeles County, California",178715,2019
1400000US06037137302,"Census Tract 1373.02, Los Angeles County, California",168607,2019
1400000US06037137401,"Census Tract 1374.01, Los Angeles County, California",153289,2019
1400000US06037137402,"Census Tract 1374.02, Los Angeles County, California",154324,2019
1400000US06037137501,"Census Tract 1375.01, Los Angeles County, California",140831,2019
