GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
0500000US06037,"Los Angeles County, California",119875,2022
1400000US06037132900,Census Tract 1329; Los Angeles County; California,127784,2022
1400000US06037133000,Census Tract 1330; Los Angeles County; California,100138,2022
1400000US06037133101,Census Tract 1331.01; Los Angeles County; California,109487,2022
1400000US06037133102,Census Tract 1331.02; Los Angeles County; California,100788,2022
1400000US06037134001,Census Tract 1340.01; Los Angeles County; California,84416,2022
1400000US06037134002,Census Tract 1340.02; Los Angeles County; California,83442,2022
1400000US06037134101,Census Tract 1341.01; Los Angeles County; California,109974,2022
1400000US06037134103,Census Tract 1341.03; Los Angeles County; California,110081,2022
1400000US06037134104,Census Tract 1341.04; Los Angeles County; California,90443,2022
1400000US06037134201,Census Tract 1342.01; Los Angeles County; California,100940,2022
1400000US06037134302,Census Tract 1343.02; Los Angeles County; California,148663,2022
1400000US06037134303,Census Tract 1343.03; Los Angeles County; California,128381,2022
1400000US06037134304,Census Tract 1343.04; Los Angeles County; California,101215,2022
1400000US06037134305,Census Tract 1343.05; Los Angeles County; California,59347,2022
1400000US06037134306,Census Tract 1343.06; Los Angeles County; California,67078,2022
1400000US06037134421,Census Tract 1344.21; Los Angeles County; California,160083,2022
1400000US06037134422,Census Tract 1344.22; Los Angeles County; California,175362,2022
1400000US06037134423,Census Tract 1344.23; Los Angeles County; California,167951,2022
1400000US06037134424,Census Tract 1344.24; Los Angeles County; California,175008,2022
1400000US06037134520,Census Tract 1345.20; Los Angeles County; California,61716,2022
1400000US06037134521,Census Tract 1345.21; Los Angeles County; California,73772,2022
1400000US06037134522,Census Tract 1345.22; Los Angeles County; California,71746,2022
1400000US06037134710,Census Tract 1347.10; Los Angeles County; California,68153,2022
1400000US06037134720,Census Tract 1347.20; Los Angeles County; California,110319,2022
1400000US06037134801,Census Tract 1348.01; Los Angeles County; California,100164,2022
1400000US06037134802,Census Tract 1348.02; Los Angeles County; California,102817,2022
1400000US06037134901,Census Tract 1349.01; Los Angeles County; California,108468,2022
1400000US06037134904,Census Tract 1349.04; Los Angeles County; California,103865,2022
1400000US06037134905,Census Tract 1349.05; Los Angeles County; California,116239,2022
1400000US06037134906,Census Tract 1349.06; Los Angeles County; California,86482,2022
1400000US06037134907,Census Tract 1349.07; Los Angeles County; California,117466,2022
1400000US06037135102,Census Tract 1351.02; Los Angeles County; California,197440,2022
1400000US06037135111,Census Tract 1351.11; Los Angeles County; California,119399,2022
1400000US06037135113,Census Tract 1351.13; Los Angeles County; California,131285,2022
1400000US06037135115,Census Tract 1351.15; Los Angeles County; California,95592,2022
1400000US06037135116,Census Tract 1351.16; Los Angeles County; California,108403,2022
1400000US06037135201,Census Tract 1352.01; Los Angeles County; California,141147,2022
1400000US06037135202,Census Tract 1352.02; Los Angeles County; California,140536,2022
1400000US06037135204,Census Tract 1352.04; Los Angeles County; California,124305,2022
1400000US06037135205,Census Tract 1352.05; Los Angeles County; California,206612,2022
1400000US06037137000,Census Tract 1370; Los Angeles County; California,180581,2022
1400000US06037137103,Census Tract 1371.03; Los Angeles County; California,100937,2022
1400000US06037137104,Census Tract 1371.04; Los Angeles County; California,132870,2022
1400000US06037137202,Census Tract 1372.02; Los Angeles County; California,120677,2022
1400000US06037137203,Census Tract 1372.03; Los Angeles County; California,193818,2022
1400000US06037137301,Census Tract 1373.01; Los Angeles County; California,213080,2022
1400000US06037137302,Census Tract 1373.02; Los Angeles County; California,204781,2022
1400000US06037137401,Census Tract 1374.01; Los Angeles County; California,179993,2022
1400000US06037137402,Census Tract 1374.02; Los Angeles County; California,167321,2022
1400000US06037137501,Census Tract 1375.01; Los Angeles County; California,141318,2022
1400000US06037137502,Census Tract 1375.02; Los Angeles County; California,204657,2022
1400000US06037137504,Census Tract 1375.04; Los Angeles County; California,282831,2022
1400000US06037138000,Census Tract 1380; Los Angeles County; California,143957,2022
1400000US06037139001,Census Tract 1390.01; Los Angeles County; California,129907,2022
1400000US06037139200,Census Tract 1392; Los Angeles County; California,129989,2022
1400000US06037139301,Census Tract 1393.01; Los Angeles County; California,203923,2022
1400000US06037139302,Census Tract 1393.02; Los Angeles County; California,83463,2022
1400000US06037139303,Census Tract 1393.03; Los Angeles County; California,110643,2022
1400000US06037139401,Census Tract 1394.01; Los Angeles County; California,108609,2022
1400000US06037139402,Census Tract 1394.02; Los Angeles County; California,217923,2022
1400000US06037139502,Census Tract 1395.02; Los Angeles County; California,143462,2022
1400000US06037139504,Census Tract 1395.04; Los Angeles County; California,99128,2022
1400000US06037139505,Census Tract 1395.05; Los Angeles County; California,49846,2022
1400000US06037139506,Census Tract 1395.06; Los Angeles County; California,73168,2022
1400000US06037139600,Census Tract 1396; Los Angeles County; California,133428,2022
1400000US06037139701,Census Tract 1397.01; Los Angeles County; California,275101,2022
1400000US06037139703,Census Tract 1397.03; Los Angeles County; California,268568,2022
1400000US06037139704,Census Tract 1397.04; Los Angeles County; California,203492,2022
1400000US06037139705,Census Tract 1397.05; Los Angeles County; California,312249,2022
1400000US06037139801,Census Tract 1398.01; Los Angeles County; California,256081,2022
1400000US06037139802,Census Tract 1398.02; Los Angeles County; California,277712,2022
1400000US06037141101,Census Tract 1411.01; Los Angeles County; California,149875,2022
1400000US06037141102,Census Tract 1411.02; Los Angeles County; California,129972,2022
1400000US06037141201,Census Tract 1412.01; Los Angeles County; California,105544,2022
1400000US06037141202,Census Tract 1412.02; Los Angeles County; California,141260,2022
1400000US06037141303,Census Tract 1413.03; Los Angeles County; California,104680,2022
1400000US06037141304,Census Tract 1413.04; Los Angeles County; California,204136,2022
1400000US06037141305,Census Tract 1413.05; Los Angeles County; California,162592,2022
1400000US06037141306,Census Tract 1413.06; Los Angeles County; California,140715,2022
1400000US06037141400,Census Tract 1414; Los Angeles County; California,211165,2022
1400000US06037141500,Census Tract 1415; Los Angeles County; California,360458,2022
1400000US06037141600,Census Tract 1416; Los Angeles County; California,220808,2022
1400000US06037141700,Census Tract 1417; Los Angeles County; California,345781,2022
1400000US06037143101,Census Tract 1431.01; Los Angeles County; California,213525,2022
1400000US06037143102,Census Tract 1431.02; Los Angeles County; California,128716,2022
1400000US06037143200,Census Tract 1432; Los Angeles County; California,101730,2022
1400000US06037143301,Census Tract 1433.01; Los Angeles County; California,107456,2022
1400000US06037143302,Census Tract 1433.02; Los Angeles County; California,151890,2022
