GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!With earnings!!Mean earnings (dollars),year
1400000US06037131701,"Census Tract 1317.01, Los Angeles County, California",66288,2016
1400000US06037131702,"Census Tract 1317.02, Los Angeles County, California",66754,2016
1400000US06037131800,"Census Tract 1318, Los Angeles County, California",66280,2016
1400000US06037131900,"Census Tract 1319, Los Angeles County, California",77242,2016
1400000US06037132001,"Census Tract 1320.01, Los Angeles County, California",91201,2016
1400000US06037132002,"Census Tract 1320.02, Los Angeles County, California",86508,2016
1400000US06037132101,"Census Tract 1321.01, Los Angeles County, California",82761,2016
1400000US06037132102,"Census Tract 1321.02, Los Angeles County, California",65706,2016
1400000US06037132300,"Census Tract 1323, Los Angeles County, California",68236,2016
1400000US06037132501,"Census Tract 1325.01, Los Angeles County, California",63949,2016
1400000US06037132502,"Census Tract 1325.02, Los Angeles County, California",58306,2016
1400000US06037132700,"Census Tract 1327, Los Angeles County, California",70410,2016
1400000US06037132900,"Census Tract 1329, Los Angeles County, California",102811,2016
1400000US06037133000,"Census Tract 1330, Los Angeles County, California",74624,2016
1400000US06037133100,"Census Tract 1331, Los Angeles County, California",80552,2016
1400000US06037134001,"Census Tract 1340.01, Los Angeles County, California",55940,2016
1400000US06037134002,"Census Tract 1340.02, Los Angeles County, California",76325,2016
1400000US06037134101,"Census Tract 1341.01, Los Angeles County, California",81132,2016
1400000US06037134103,"Census Tract 1341.03, Los Angeles County, California",73504,2016
1400000US06037134104,"Census Tract 1341.04, Los Angeles County, California",87350,2016
1400000US06037134201,"Census Tract 1342.01, Los Angeles County, California",98441,2016
1400000US06037134302,"Census Tract 1343.02, Los Angeles County, California",98254,2016
1400000US06037134303,"Census Tract 1343.03, Los Angeles County, California",91657,2016
1400000US06037134304,"Census Tract 1343.04, Los Angeles County, California",88127,2016
1400000US06037134305,"Census Tract 1343.05, Los Angeles County, California",39800,2016
1400000US06037134306,"Census Tract 1343.06, Los Angeles County, California",74533,2016
1400000US06037134421,"Census Tract 1344.21, Los Angeles County, California",124682,2016
1400000US06037134422,"Census Tract 1344.22, Los Angeles County, California",119858,2016
1400000US06037134423,"Census Tract 1344.23, Los Angeles County, California",130143,2016
1400000US06037134424,"Census Tract 1344.24, Los Angeles County, California",154267,2016
1400000US06037134520,"Census Tract 1345.20, Los Angeles County, California",53091,2016
1400000US06037134521,"Census Tract 1345.21, Los Angeles County, California",51141,2016
1400000US06037134522,"Census Tract 1345.22, Los Angeles County, California",44342,2016
1400000US06037134710,"Census Tract 1347.10, Los Angeles County, California",52195,2016
1400000US06037134720,"Census Tract 1347.20, Los Angeles County, California",72670,2016
1400000US06037134800,"Census Tract 1348, Los Angeles County, California",73674,2016
1400000US06037134901,"Census Tract 1349.01, Los Angeles County, California",95986,2016
1400000US06037134903,"Census Tract 1349.03, Los Angeles County, California",63392,2016
1400000US06037134904,"Census Tract 1349.04, Los Angeles County, California",72102,2016
1400000US06037134905,"Census Tract 1349.05, Los Angeles County, California",94231,2016
1400000US06037135102,"Census Tract 1351.02, Los Angeles County, California",98862,2016
1400000US06037135111,"Census Tract 1351.11, Los Angeles County, California",94430,2016
1400000US06037135113,"Census Tract 1351.13, Los Angeles County, California",89873,2016
1400000US06037135114,"Census Tract 1351.14, Los Angeles County, California",122011,2016
1400000US06037135201,"Census Tract 1352.01, Los Angeles County, California",114619,2016
1400000US06037135202,"Census Tract 1352.02, Los Angeles County, California",126414,2016
1400000US06037135203,"Census Tract 1352.03, Los Angeles County, California",114518,2016
1400000US06037137000,"Census Tract 1370, Los Angeles County, California",146082,2016
1400000US06037137103,"Census Tract 1371.03, Los Angeles County, California",83713,2016
1400000US06037137104,"Census Tract 1371.04, Los Angeles County, California",127278,2016
1400000US06037137201,"Census Tract 1372.01, Los Angeles County, California",81290,2016
1400000US06037137301,"Census Tract 1373.01, Los Angeles County, California",153988,2016
1400000US06037137302,"Census Tract 1373.02, Los Angeles County, California",127741,2016
1400000US06037137401,"Census Tract 1374.01, Los Angeles County, California",128300,2016
1400000US06037137402,"Census Tract 1374.02, Los Angeles County, California",140492,2016
1400000US06037137501,"Census Tract 1375.01, Los Angeles County, California",114835,2016
1400000US06037137502,"Census Tract 1375.02, Los Angeles County, California",127590,2016
1400000US06037137504,"Census Tract 1375.04, Los Angeles County, California",226780,2016
1400000US06037138000,"Census Tract 1380, Los Angeles County, California",130914,2016
1400000US06037139001,"Census Tract 1390.01, Los Angeles County, California",91416,2016
1400000US06037139200,"Census Tract 1392, Los Angeles County, California",91540,2016
1400000US06037139301,"Census Tract 1393.01, Los Angeles County, California",113566,2016
1400000US06037139302,"Census Tract 1393.02, Los Angeles County, California",55161,2016
1400000US06037139303,"Census Tract 1393.03, Los Angeles County, California",64712,2016
1400000US06037139401,"Census Tract 1394.01, Los Angeles County, California",79842,2016
1400000US06037139402,"Census Tract 1394.02, Los Angeles County, California",150193,2016
1400000US06037139502,"Census Tract 1395.02, Los Angeles County, California",80009,2016
1400000US06037139503,"Census Tract 1395.03, Los Angeles County, California",71848,2016
1400000US06037139504,"Census Tract 1395.04, Los Angeles County, California",57450,2016
1400000US06037139600,"Census Tract 1396, Los Angeles County, California",121625,2016
1400000US06037139701,"Census Tract 1397.01, Los Angeles County, California",176547,2016
1400000US06037139702,"Census Tract 1397.02, Los Angeles County, California",220177,2016
1400000US06037139703,"Census Tract 1397.03, Los Angeles County, California",157286,2016
